Symbol,Company Name,Exchange,Industry,Market Cap
TSXV:BLU,BluEnergies Ltd.,TSX Venture Exchange,Oil & Gas Exploration & Production,179815792
TSXV:ROCK,Trident Resources Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,163015479
TSXV:EM,Errington Metals Inc.,TSX Venture Exchange,Other,
TSXV:SPA,Spanish Mountain Gold Ltd.,TSX Venture Exchange,Gold,158305840
TSXV:HMT,Halmont Properties Corporation,TSX Venture Exchange,Real Estate Services,162444694
TSXV:RX,BioSyent Inc.,TSX Venture Exchange,Drug Manufacturers - Specialty & Generic,160708115
TSXV:NIM,Nicola Mining Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,134324575
TSXV:AXO,Axo Metals Corp.,TSX Venture Exchange,Copper,97824020
TSXV:WI,The Western Investment Company of Canada Limited,TSX Venture Exchange,Insurance - Diversified,160226064
TSXV:GSI,Gatekeeper Systems Inc.,TSX Venture Exchange,Security & Protection Services,157758622
TSXV:SCOT,Scottie Resources Corp.,TSX Venture Exchange,Other Precious Metals & Mining,104387190
TSXV:GRSL,GR Silver Mining Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,128174762
TSXV:LG,Lahontan Gold Corp.,TSX Venture Exchange,Other Precious Metals & Mining,136848896
TSXV:CGNT,Copper Giant Resources Corp.,TSX Venture Exchange,Other Precious Metals & Mining,88283625
TSXV:LTH,Lithium Ionic Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,147975750
TSXV:SPRQ,SPARQ Systems Inc.,TSX Venture Exchange,Electrical Equipment & Parts,147338240
TSXV:MMA,Midnight Sun Mining Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,119307311
TSXV:FLCN,Falcon Energy Materials plc,TSX Venture Exchange,Other Industrial Metals & Mining,105557562
TSXV:SVE,Silver One Resources Inc.,TSX Venture Exchange,Silver,115904775
TSXV:FAN,First Atlantic Nickel & Cobalt Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,146288160
TSXV:JUN.A,Juno International Corporation,TSX Venture Exchange,Asset Management,136831360
TSXV:CYG,Cygnus Metals Limited,TSX Venture Exchange,Other Industrial Metals & Mining,134745968
TSXV:DMGI,DMG Blockchain Solutions Inc.,TSX Venture Exchange,Capital Markets,136554988
TSXV:AGAG,Argenta Silver Corp.,TSX Venture Exchange,Silver,136458390
TSXV:OMI,Orosur Mining Inc.,TSX Venture Exchange,Gold,110545333
TSXV:FTZ,Fitzroy Minerals Inc.,TSX Venture Exchange,Other Precious Metals & Mining,116105850
TSXV:BOGO,Borealis Mining Company Limited,TSX Venture Exchange,Other Industrial Metals & Mining,130946240
TSXV:EXN,Excellon Resources Inc.,TSX Venture Exchange,Silver,47200482
TSXV:LTC,Lotus Creek Exploration Inc.,TSX Venture Exchange,Oil & Gas Exploration & Production,133950696
TSXV:NET.UN,Canadian Net Real Estate Investment Trust,TSX Venture Exchange,REIT - Diversified,132017120
TSXV:KTN,Kootenay Silver Inc.,TSX Venture Exchange,Silver,130915490
TSXV:AXL,Arrow Exploration Corp.,TSX Venture Exchange,Oil & Gas Exploration & Production,131497600
TSXV:GGO,Galleon Gold Corp.,TSX Venture Exchange,Gold,73745450
TSXV:TDG,TDG Gold Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,130160341
TSXV:DMX,District Metals Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,129735446
TSXV:ONYX,Onyx Gold Corp.,TSX Venture Exchange,Gold,125675960
TSXV:YARR,Pirate Gold Corp.,TSX Venture Exchange,Gold,128037953
TSXV:NRC,Nations Royalty Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,9519062
TSXV:BILD,BuildDirect.com Technologies Inc.,TSX Venture Exchange,Home Improvement Retail,130549704
TSXV:TPL,Tethys Petroleum Limited,TSX Venture Exchange,Oil & Gas Exploration & Production,126342973
TSXV:PKT,Parkit Enterprise Inc.,TSX Venture Exchange,Real Estate Services,126206681
TSXV:OGO,Organto Foods Inc.,TSX Venture Exchange,Food Distribution,104878288
TSXV:LITH,Lithium Chile Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,125004582
TSXV:FPX,FPX Nickel Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,124674681
TSXV:TUF,Honey Badger Silver Inc.,TSX Venture Exchange,Other Precious Metals & Mining,91626815
TSXV:AGA,Silver47 Exploration Corp.,TSX Venture Exchange,Other Precious Metals & Mining,102246917
TSXV:TUNG,American Tungsten Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,123701400
TSXV:BRAU,Big Ridge Gold Corp.,TSX Venture Exchange,Gold,86788390
TSXV:OCO,Oroco Resource Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,93359700
TSXV:LI,American Lithium Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,100737769
TSXV:PWM,Power Metals Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,97580140
TSXV:FL,Frontier Lithium Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,116513674
TSXV:NEXM,NexMetals Mining Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,113717643
TSXV:PESO,PesoRama Inc.,TSX Venture Exchange,Discount Stores,99124995
TSXV:HI,Highland Copper Company Inc.,TSX Venture Exchange,Copper,118110080
TSXV:SOI,Sirios Resources Inc.,TSX Venture Exchange,Gold,64705681
TSXV:EMPR,Empress Royalty Corp.,TSX Venture Exchange,Other Precious Metals & Mining,112151389
TSXV:LGC,Lavras Gold Corp.,TSX Venture Exchange,Gold,110159278
TSXV:THM,"Thunder Mountain Gold, Inc.",TSX Venture Exchange,Other Precious Metals & Mining,112206695
TSXV:ECR,Cartier Resources Inc.,TSX Venture Exchange,Gold,109309200
TSXV:AUUA,Aluula Composites Inc.,TSX Venture Exchange,Textile Manufacturing,99694184
TSXV:NCAU,Newcore Gold Ltd.,TSX Venture Exchange,Gold,106316518
TSXV:TUO,Teuton Resources Corp.,TSX Venture Exchange,Other Precious Metals & Mining,101503979
TSXV:AEC,Anfield Energy Inc.,TSX Venture Exchange,Uranium,104668762
TSXV:MJS,Majestic Gold Corp.,TSX Venture Exchange,Gold,104266438
TSXV:SGQ,SouthGobi Resources Ltd.,TSX Venture Exchange,Thermal Coal,103944632
TSXV:HAN,Hannan Metals Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,101372154
TSXV:IPT,IMPACT Silver Corp.,TSX Venture Exchange,Silver,80863307
TSXV:VCU,Vizsla Copper Corp.,TSX Venture Exchange,Copper,38001054
TSXV:EMO,Emerita Resources Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,99369029
TSXV:RET,Reitmans (Canada) Limited,TSX Venture Exchange,Apparel Retail,105076287
TSXV:RET.A,Reitmans (Canada) Limited,TSX Venture Exchange,Apparel Retail,103074834
TSXV:CVV,CanAlaska Uranium Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,99051903
TSXV:NKL,Nickel 28 Capital Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,99146009
TSXV:EDCU,Edge Copper Corporation,TSX Venture Exchange,Copper,70242368
TSXV:CCCM,C3 Metals Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,77910144
TSXV:NSE,New Stratus Energy Inc.,TSX Venture Exchange,Oil & Gas Exploration & Production,97531800
TSXV:SUM,Summit Royalties Ltd.,TSX Venture Exchange,Other Precious Metals & Mining,96840496
TSXV:ETL,E3 Lithium Limited,TSX Venture Exchange,Other Industrial Metals & Mining,82288461
TSXV:RCK,Rock Tech Lithium Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,95999988
TSXV:ADE,Adex Mining Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,94809608
TSXV:MSR,Minsud Resources Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,94789752
TSXV:ADY,Adyton Resources Corporation,TSX Venture Exchange,Other Precious Metals & Mining,92937352
TSXV:VMXX,Valhalla Metals Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,160182848
TSXV:SHL,Homeland Nickel Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,92060520
TSXV:ATLE,Atlas Energy Corp.,TSX Venture Exchange,Oil & Gas Midstream,91268704
TSXV:INTR,Intrepid Metals Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,44401143
TSXV:SYH,Skyharbour Resources Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,85898805
TSXV:JEV,Jericho Energy Ventures Inc.,TSX Venture Exchange,Oil & Gas Exploration & Production,89157672
TSXV:ZEN,Zentek Ltd.,TSX Venture Exchange,Medical Instruments & Supplies,76356240
TSXV:FUU,F3 Uranium Corp.,TSX Venture Exchange,Uranium,85300509
