Ticker,Company
NICA.ST,Nanologica AB (publ)
CDMIL.ST,CodeMill AB (publ)
PRO.ST,Promimic AB (publ)
ALPCOT-B.ST,Alpcot Holding AB (publ)
INTEG-B.ST,Integrum AB (publ)
LINKAB.ST,Link Prop Investment AB (publ)
LYGRD.ST,Lyckegård Group AB (publ)
BAT.ST,Eurobattery Minerals AB
MAGI.ST,MAG Interactive AB (publ)
TENEO.ST,Teneo AI AB (publ)
TURA.ST,Tura Group AB
FRILAN.ST,Invoicery Group AB (publ)
KDV-B.ST,KDventures AB
LAMM-B.ST,Lammhults Design Group AB (publ)
KLAR.ST,Klaria Pharma Holding AB (publ.)
VUXEN.ST,Vuxen Group AB
NOTEK.ST,Norditek Group AB (publ)
CRWN.ST,Crown Energy AB (publ)
VIVE.ST,Vivesto AB
TRIONA.ST,Triona AB
PRLD.ST,Prolight Diagnostics AB (publ)
ACTI.ST,Active Biotech AB (publ)
DEX.ST,Dextech Medical AB
FABLE.ST,Fable Media Group AB
CLIME-B.ST,Climeon AB (publ)
HIGHCO-B.ST,High Coast Distillery AB (Publ)
PRCO-B.ST,Precio Fishbone AB (publ)
STAR-A.ST,Starbreeze AB (publ)
STAR-B.ST,Starbreeze AB (publ)
ACROUD.ST,Acroud AB (publ)
NETEL.ST,Netel Holding AB (publ)
HAV-B.ST,Havsfrun Investment AB (publ)
BPCINS.ST,BPC Instruments AB
EMB.ST,EMB Mission Bound AB (publ)
STW.ST,SeaTwirl AB (publ)
EMART.ST,EmbeddedArt Group AB (publ)
DMYD-B.ST,Diamyd Medical AB (publ)
SENZA.ST,SenzaGen AB
DRIL.ST,Drillcon AB (publ)
GREAT.ST,Greater Than AB (publ)
ACUC.ST,AcuCort AB (publ)
SDS.ST,Seamless Distribution Systems AB (publ)
NEPA.ST,Nepa AB (publ)
IZAFE-B.ST,iZafe Group AB (publ)
ALZCUR.ST,AlzeCure Pharma AB (publ)
TRANS.ST,Transtema Group AB
DIST.ST,DistIT AB (publ)
ORTI-A.ST,Ortivus AB (publ)
ORTI-B.ST,Ortivus AB (publ)
XER.ST,Xer Tech Holding AB (publ)
SIN.ST,Solution International Nordics AB (publ)
SFTR.ST,Safeture AB (publ)
MOMENT.ST,Moment Group AB
HEART.ST,Scandinavian Real Heart AB (Publ)
BONG.ST,Bong AB (publ)
GIGA.ST,Gigasun AB (publ)
ELIC.ST,Elicera Therapeutics AB (publ)
SODER.ST,Söder Sportfiske AB
NOWO.ST,Nowonomics AB (publ)
WISE.ST,Wise Group AB (publ)
NOSA.ST,Nosa Plugs AB
OODA.ST,oodash Group AB (publ)
MODEL.ST,Modelon AB (publ)
CLS-B.ST,Clinical Laserthermia Systems AB (publ)
HERNO-B.ST,Hernö Gin AB (publ)
ABERA.ST,Abera Bioscience AB
SERT.ST,Serstech AB
ARCOMA.ST,Arcoma AB
ATORX.ST,Alligator Bioscience AB (publ)
VO2.ST,Vo2 Cap Holding AB (publ)
