Ticker,Company,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Change 1M
ECK.DE,LUDWIG BECK am Rathauseck - Textilhaus Feldmeier AG,64662500,17.5,,Department Stores,35,30.52,-1.69%
CDZ0.DE,MHP Hotel AG,62576476,1.38,,Lodging,727,11.25,-1.43%
EXL.DE,Exasol AG,58485592,2.32,-0.43%,Software - Infrastructure,1421,19.53,14.58%
ALG.DE,ALBIS Leasing AG,58499387,2.76,-2.82%,Credit Services,95,9.37,-4.17%
IPOK.DE,Heidelberger Beteiligungsholding AG,57418340,202,-5.61%,Asset Management,87,-26.26,-6.54%
HNL.DE,Hoenle AG,57587613,9.56,1.27%,Electrical Equipment & Parts,181,-14.18,3.46%
CSH.DE,CENIT Aktiengesellschaft,57235465,6.84,1.48%,Software - Application,17790,-48.86,5.23%
3ITN.DE,audius SE,56588315,11.6,,Information Technology Services,200,16.46,
AB9.DE,ABO Energy GmbH & Co. KGaA,57169450,6.18,1.98%,Engineering & Construction,2636,2.41,6.74%
NFN.DE,NFON AG,55810988,3.44,2.08%,Software - Infrastructure,2517,83.25,1.18%
P4O.DE,Planoptik AG,58045056,13.3,7.69%,Scientific & Technical Instruments,65011,116.82,80.94%
TPG0.DE,The Platform Group SE & Co. KGaA,55781681,2.6,-1.89%,Software - Application,115192,1.21,9.30%
GTY.DE,Gateway Real Estate AG,54161560,0.3,4.14%,Real Estate - Development,140,0.39,-19.47%
WOLF.DE,Meta Wolf AG,56805772,2.2,-3.51%,Building Products & Equipment,0,,-14.06%
PTP.DE,Pentixapharm Holding AG,53531384,2.17,0.93%,Biotechnology,489,,11.00%
EXJ0.DE,Readcrest Capital AG,,1.61,1.26%,Advertising,1722,,34.75%
SVE.DE,Shareholder Value Beteiligungen AG,49761632,74.5,1.36%,Asset Management,244,7.32,2.80%
CY1K.DE,SBF AG,47852695,4.64,-9.38%,Railroads,222,-29,37.28%
V6C.DE,Viscom SE,45846910,4.88,-5.43%,Scientific & Technical Instruments,7212,-8.46,25.65%
2INV.DE,2invest AG,70688496,8.42,2.18%,"Biological Products, Except Diagnostic Substances",0,,-28.03%
OBS.DE,ORBIS AG,43938754,4.64,-0.43%,Information Technology Services,11,13.47,-4.13%
MRX.DE,Mister Spex SE,43910322,1.27,-0.78%,Specialty Retail,10000,-0.53,-2.68%
CYR.DE,cyan AG,40177105,1.99,-2.45%,Software - Infrastructure,5,-22.11,
M3V.DE,MeVis Medical Solutions AG,42952000,23.6,,Health Information Services,200,13.33,2.61%
H2O.DE,Enapter AG,44900660,1.34,-3.94%,Specialty Industrial Machinery,68414,-1.54,5.51%
CEA.DE,FRIWO AG,40206150,4.7,-4.08%,Electrical Equipment & Parts,1716,2.88,-4.86%
DMRE.DE,DEMIRE Deutsche Mittelstand Real Estate AG,39883761,0.38,,Real Estate Services,3898,-0.49,-18.88%
SNG.DE,Singulus Technologies AG,42347469,4.69,-1.47%,Specialty Industrial Machinery,95173,-5.73,2.40%
S188.DE,SMT Scharf AG,39124650,6.9,-3.50%,Railroads,1525,-6.94,-20.23%
UUU.DE,3U Holding AG,42890656,1.17,,Building Products & Equipment,24,-6.85,11.48%
MSAG.DE,MS Industrie AG,38051430,1.28,,Auto Parts,1179,-5.12,1.59%
MLL.DE,Müller - Die lila Logistik SE,37551140,4.72,,Integrated Freight & Logistics,300,8.72,0.85%
DEX.DE,Delticom AG,36284223,2.44,-3.17%,Auto Parts,22303,9.29,-13.29%
TR9.DE,OTRS AG,33631065,17.55,-0.57%,Software - Application,1,-38.15,1.15%
DIE.DE,Dierig Holding AG,35081505,8.6,0.58%,Textile Manufacturing,250,9.44,2.38%
H9W.DE,HWA AG,32789097,3.35,1.52%,Auto Parts,27,-1.68,0.30%
VRL.DE,Net-Digital AG,34308480,16.2,1.25%,Software - Application,1074,986.56,9.66%
FEV.DE,FORTEC Elektronik AG,34292100,10.55,2.43%,Electronics & Computer Distribution,5,26.5,-5.80%
BEZ.DE,Berentzen-Gruppe Aktiengesellschaft,33347603,3.48,-1.97%,Beverages - Wineries & Distilleries,1307,14.1,2.87%
BOG.DE,Stock3 AG,33152000,29.6,,Specialty Business Services,23,,-1.33%
DAR.DE,DATRON AG,32395061,9.3,12.73%,Specialty Industrial Machinery,10201,21.81,25.17%
PAL.DE,PAL Next AG,23544565,0.99,7.07%,Entertainment,57,-8.36,-7.08%
SCE.DE,Schweizer Electronic AG,30391947,8,-0.74%,Electronic Components,2005,6.08,63.89%
AAQ1.DE,aap Implantate AG,31199989,2.12,0.95%,Medical Devices,70,-11.16,53.62%
E4C.DE,ecotel communication ag,28875287,8.05,-1.23%,Telecom Services,452,11.59,20.15%
SYT.DE,Softing AG,28785055,2.8,-3.45%,Information Technology Services,200,-13.81,-3.45%
DLX.DE,Delignit AG,26220480,2.56,-1.54%,Lumber & Wood Production,2500,13.89,0.79%
VG80.DE,Ascory Bank AG,27116141,2.7,3.05%,Banks - Regional,11,4.38,
